Brand,Model,Engine_Type,Transmission,Driven_Kms,Price_In_Lakhs,Location,State,is_BH_series,Car_Age,is_top_trim
KIA,SONET,Petrol,Manual,43447,6.21,Delhi,Delhi,0,3,1
Maruti,Dzire,Petrol,Manual,87050,2.98,Delhi,Delhi,0,7,0
Maruti,FRONX,Petrol,Manual,25983,6.65,Delhi,Haryana,0,2,1
Volkswagen,TAIGUN,Petrol,Manual,62917,6.66,Delhi,Delhi,0,3,1
Skoda,Octavia,Petrol,Auto,86649,10.49,Delhi,Delhi,0,6,1
Tata,PUNCH,Petrol,Manual,46006,4.64,Delhi,Uttar Pradesh,0,2,0
Tata,Tiago,Petrol,Manual,71696,2.66,Delhi,Delhi,0,7,0
Maruti,Grand Vitara,Petrol,Manual,67233,10.55,Delhi,Haryana,0,2,1
Ford,Ecosport,Petrol,Manual,74127,4.39,Delhi,Haryana,0,7,0
Maruti,Swift,Petrol,Manual,42012,5.17,Delhi,Haryana,0,1,0
Tata,Harrier,Diesel,Auto,114866,12.51,Delhi,Haryana,0,3,1
Maruti,Baleno,Petrol,Manual,76256,3.92,Delhi,Haryana,0,6,0
Hyundai,Verna,Petrol,Manual,67466,5.45,Delhi,Delhi,0,7,0
Mahindra,Thar,Petrol,Auto,54185,9.5,Delhi,Haryana,0,4,1
Renault,Kwid,Petrol,Auto,48524,2.59,Delhi,Uttar Pradesh,0,7,1
Hyundai,Verna,Petrol,Manual,73993,5.38,Delhi,Delhi,0,8,0
Hyundai,Verna,Petrol,Manual,31309,9.03,Delhi,Uttar Pradesh,0,1,0
Tata,Safari,Diesel,Manual,66625,9.93,Delhi,Uttar Pradesh,0,3,0
Nissan,Other,Petrol,Manual,38586,6.2,Delhi,Delhi,0,4,0
Ford,Ecosport,Petrol,Auto,70173,5.47,Delhi,Haryana,0,7,1
Tata,ALTROZ,Petrol,Manual,70238,3.77,Delhi,Haryana,0,4,0
Mahindra,Thar,Petrol,Manual,27661,9.73,Delhi,Haryana,0,3,0
Tata,Tiago,Petrol,Manual,58640,2.67,Delhi,Haryana,0,7,0
Maruti,Ertiga,Petrol,Manual,45498,7.72,Delhi,Haryana,0,3,1
Hyundai,NEW I20,Petrol,Auto,28248,6.0,Delhi,Uttar Pradesh,0,2,1
KIA,SELTOS,Diesel,Auto,76981,8.57,Delhi,Uttar Pradesh,0,6,1
Honda,City,Petrol,Auto,75841,5.85,Delhi,Haryana,0,8,1
Maruti,Swift,Petrol,Manual,48767,3.83,Delhi,Haryana,0,7,0
Honda,City,Petrol,Manual,41426,5.66,Delhi,Delhi,0,7,0
Renault,Kwid,Petrol,Manual,45635,1.88,Delhi,Uttar Pradesh,0,7,0
Tata,ALTROZ,Diesel,Manual,37790,3.78,Delhi,Haryana,0,4,0
Hyundai,Verna,Petrol,Auto,42458,9.97,Delhi,Delhi,0,3,1
Toyota,Glanza,Petrol,Manual,21359,5.15,Delhi,Uttar Pradesh,0,1,0
Honda,City,Petrol,Manual,70341,3.25,Delhi,Haryana,0,9,0
KIA,SELTOS,Diesel,Manual,88190,6.92,Delhi,Uttar Pradesh,0,4,0
